iter	Passed	Remaining
455	968	1155
456	970	1152
457	971	1149
458	972	1146
459	974	1143
460	975	1140
461	976	1137
462	978	1134
463	979	1131
464	980	1128
465	982	1125
466	983	1122
467	984	1119
468	985	1116
469	987	1113
470	988	1110
471	990	1108
472	992	1105
473	993	1102
474	995	1100
475	996	1097
476	998	1094
477	999	1091
478	1000	1088
479	1002	1086
480	1004	1083
481	1005	1080
482	1007	1077
483	1008	1075
484	1009	1072
485	1011	1069
486	1012	1066
487	1013	1063
488	1015	1060
489	1016	1058
490	1018	1055
491	1019	1053
492	1021	1050
493	1022	1047
494	1024	1044
495	1025	1042
496	1027	1040
497	1029	1037
498	1030	1034
499	1032	1032
500	1034	1030
501	1035	1027
502	1037	1024
503	1039	1022
504	1040	1019
505	1041	1017
506	1043	1014
507	1044	1011
508	1045	1008
509	1046	1005
510	1047	1002
511	1048	999
512	1050	997
513	1052	994
514	1053	992
515	1054	989
516	1056	986
517	1057	984
518	1058	981
519	1060	978
520	1061	975
521	1062	973
522	1064	970
523	1065	967
524	1066	964
525	1067	962
526	1069	959
527	1070	956
528	1071	954
529	1072	951
530	1073	948
531	1075	945
532	1076	943
533	1077	940
534	1079	938
535	1080	935
536	1082	933
537	1083	930
538	1084	927
539	1085	925
540	1087	922
541	1088	920
542	1090	917
543	1091	914
544	1092	912
545	1094	909
546	1095	907
547	1096	904
548	1097	901
549	1099	899
550	1100	896
551	1101	894
552	1102	891
553	1104	889
554	1106	886
555	1107	884
556	1108	881
557	1110	879
558	1111	876
559	1112	874
560	1113	871
561	1115	869
562	1116	866
563	1118	864
564	1120	862
565	1121	859
566	1122	857
567	1123	854
568	1124	852
569	1126	849
570	1127	846
571	1128	844
572	1130	842
573	1131	839
574	1132	837
575	1134	834
576	1135	832
577	1136	829
578	1137	827
579	1138	824
580	1139	822
581	1141	819
582	1142	817
583	1143	814
584	1144	812
585	1146	809
586	1147	807
587	1149	805
588	1150	802
589	1151	800
590	1152	797
591	1154	795
592	1155	793
593	1156	790
594	1158	788
595	1160	786
596	1162	785
597	1165	783
598	1167	781
599	1168	779
600	1169	776
601	1172	775
602	1174	773
603	1177	771
604	1179	769
605	1180	767
606	1184	767
607	1186	765
608	1188	762
609	1191	761
610	1192	759
611	1194	757
612	1195	754
613	1198	753
614	1200	751
615	1201	749
616	1203	747
617	1206	745
618	1208	743
619	1209	741
620	1211	739
621	1213	737
622	1224	741
623	1227	739
624	1230	738
625	1232	736
626	1233	734
627	1235	731
628	1237	729
629	1238	727
630	1240	725
631	1242	723
632	1244	721
633	1248	720
634	1249	718
635	1250	715
636	1252	713
637	1254	711
638	1255	709
639	1257	707
640	1258	704
641	1260	702
642	1261	700
643	1262	698
644	1264	696
645	1267	694
646	1268	692
647	1269	689
648	1271	687
649	1273	685
650	1274	683
651	1275	680
652	1276	678
653	1278	676
654	1279	673
655	1280	671
656	1281	669
657	1283	667
658	1284	664
659	1286	662
660	1287	660
661	1289	658
662	1290	656
663	1292	653
664	1293	651
665	1294	649
666	1296	647
667	1297	645
668	1299	642
669	1300	640
670	1302	638
671	1303	636
672	1305	634
673	1307	632
674	1309	630
675	1310	628
676	1312	626
677	1316	625
678	1317	623
679	1319	620
680	1321	619
681	1323	616
682	1324	614
683	1325	612
684	1327	610
685	1328	608
686	1330	605
687	1331	604
688	1333	602
689	1334	599
690	1336	597
691	1337	595
692	1339	593
693	1341	591
694	1342	589
695	1344	587
696	1346	585
697	1348	583
698	1349	581
699	1351	579
700	1353	577
701	1354	574
702	1356	572
703	1358	570
704	1359	568
705	1360	566
706	1361	564
707	1363	562
708	1364	560
709	1366	558
710	1367	555
711	1368	553
712	1370	551
713	1371	549
714	1372	547
715	1373	544
716	1376	543
717	1377	541
718	1379	538
719	1380	536
720	1382	534
721	1383	532
722	1384	530
723	1385	528
724	1387	526
725	1388	524
726	1389	521
727	1391	519
728	1393	517
729	1394	515
730	1395	513
731	1396	511
732	1398	509
733	1400	507
734	1401	505
735	1402	503
736	1404	501
737	1405	499
738	1406	496
739	1408	494
740	1409	492
741	1411	490
742	1412	488
743	1413	486
744	1415	484
745	1416	482
746	1417	480
747	1419	478
748	1420	476
749	1421	473
750	1423	471
751	1424	469
752	1425	467
753	1426	465
754	1427	463
755	1429	461
756	1430	459
757	1432	457
758	1433	455
759	1435	453
760	1436	451
761	1438	449
762	1439	447
763	1440	445
764	1442	443
765	1444	441
766	1445	439
767	1447	437
768	1449	435
769	1450	433
770	1452	431
771	1453	429
772	1455	427
773	1457	425
774	1458	423
775	1460	421
776	1461	419
777	1463	417
778	1464	415
779	1466	413
780	1468	411
781	1473	410
782	1474	408
783	1476	406
784	1478	405
785	1480	403
786	1482	401
787	1485	399
788	1488	397
789	1491	396
790	1493	394
791	1497	393
792	1498	391
793	1501	389
794	1503	387
795	1505	385
796	1509	384
797	1511	382
798	1514	380
799	1517	379
800	1518	377
801	1520	375
802	1522	373
803	1523	371
804	1524	369
805	1526	367
806	1528	365
807	1530	363
808	1531	361
809	1533	359
810	1536	357
811	1537	355
812	1540	354
813	1541	352
814	1542	350
815	1544	348
816	1546	346
817	1547	344
818	1548	342
819	1550	340
820	1551	338
821	1553	336
822	1554	334
823	1555	332
824	1557	330
825	1558	328
826	1560	326
827	1561	324
828	1563	322
829	1565	320
830	1566	318
831	1568	316
832	1570	314
833	1571	312
834	1573	310
835	1574	308
836	1576	306
837	1577	305
838	1579	303
839	1581	301
840	1582	299
841	1584	297
842	1587	295
843	1589	293
844	1590	291
845	1591	289
846	1593	287
847	1595	285
848	1596	283
849	1597	281
850	1599	280
851	1601	278
852	1602	276
853	1603	274
854	1605	272
855	1607	270
856	1608	268
857	1610	266
858	1611	264
859	1612	262
860	1614	260
861	1615	258
862	1617	256
863	1619	254
864	1620	252
865	1621	250
866	1623	249
867	1624	247
868	1626	245
869	1627	243
870	1629	241
871	1631	239
872	1633	237
873	1634	235
874	1636	233
875	1638	231
876	1639	229
877	1641	228
878	1642	226
879	1644	224
880	1645	222
881	1646	220
882	1648	218
883	1649	216
884	1650	214
885	1652	212
886	1654	210
887	1655	208
888	1656	206
889	1657	204
890	1659	202
891	1661	201
892	1662	199
893	1663	197
894	1664	195
895	1666	193
896	1667	191
897	1668	189
898	1669	187
899	1670	185
900	1672	183
901	1673	181
902	1675	179
903	1676	178
904	1677	176
905	1679	174
906	1680	172
907	1681	170
908	1682	168
909	1684	166
910	1686	164
911	1688	162
912	1689	160
913	1691	159
914	1692	157
915	1694	155
916	1695	153
917	1697	151
918	1698	149
919	1699	147
920	1700	145
921	1702	144
922	1703	142
923	1705	140
924	1706	138
925	1707	136
926	1710	134
927	1711	132
928	1712	130
929	1714	129
930	1717	127
931	1718	125
932	1719	123
933	1721	121
934	1724	119
935	1725	117
936	1727	116
937	1729	114
938	1730	112
939	1732	110
940	1734	108
941	1736	106
942	1738	105
943	1740	103
944	1742	101
945	1743	99
946	1744	97
947	1746	95
948	1747	93
949	1748	92
950	1750	90
951	1752	88
952	1753	86
953	1755	84
954	1756	82
955	1758	80
956	1759	79
957	1760	77
958	1762	75
959	1763	73
960	1765	71
961	1766	69
962	1768	67
963	1769	66
964	1771	64
965	1772	62
966	1774	60
967	1775	58
968	1777	56
969	1778	55
970	1779	53
971	1781	51
972	1783	49
973	1784	47
974	1785	45
975	1786	43
976	1788	42
977	1790	40
978	1791	38
979	1792	36
980	1794	34
981	1796	32
982	1797	31
983	1798	29
984	1800	27
985	1801	25
986	1803	23
987	1805	21
988	1807	20
989	1808	18
990	1809	16
991	1810	14
992	1812	12
993	1815	10
994	1826	9
995	1828	7
996	1831	5
997	1832	3
998	1834	1
999	1835	0
